[0, 36]
[2, 3]
[2, 37]
[3, 4]
[4, 40]
[6, 7]
[6, 42]
[6, 41]
[7, 43]
[7, 42]
[10, 11]
[10, 46]
[10, 45]
[11, 46]
[13, 14]
[14, 15]
[18, 54]
[18, 53]
[23, 24]
[23, 59]
[24, 25]
[24, 60]
[24, 59]
[25, 26]
[25, 61]
[25, 60]
[26, 61]
[28, 64]
[33, 34]
[33, 69]
[33, 68]
[34, 69]
[36, 37]
[36, 2]
[36, 72]
[36, 71]
[37, 3]
[37, 73]
[37, 72]
[40, 41]
[40, 6]
[40, 76]
[40, 75]
[41, 42]
[41, 7]
[41, 76]
[42, 43]
[43, 44]
[43, 79]
[44, 45]
[44, 10]
[44, 80]
[44, 79]
[45, 46]
[45, 11]
[45, 80]
[46, 82]
[53, 54]
[54, 55]
[54, 90]
[55, 21]
[55, 90]
[59, 60]
[59, 25]
[59, 95]
[60, 61]
[60, 26]
[60, 96]
[60, 95]
[61, 97]
[61, 96]
[64, 100]
[64, 99]
[67, 68]
[67, 33]
[67, 103]
[68, 69]
[68, 34]
[68, 103]
[70, 71]
[70, 36]
[71, 72]
[71, 37]
[71, 107]
[72, 73]
[72, 108]
[72, 107]
[73, 108]
[75, 76]
[75, 41]
[75, 111]
[75, 110]
[76, 42]
[76, 111]
[79, 80]
[79, 45]
[79, 115]
[79, 114]
[80, 46]
[80, 115]
[82, 83]
[82, 117]
[83, 84]
[83, 119]
[84, 85]
[84, 120]
[84, 119]
[85, 86]
[85, 121]
[85, 120]
[86, 122]
[86, 121]
[90, 125]
[92, 128]
[92, 127]
[95, 96]
[95, 61]
[95, 131]
[95, 130]
[96, 97]
[96, 131]
[99, 100]
[99, 134]
[103, 69]
[107, 108]
[107, 73]
[107, 143]
[108, 144]
[108, 143]
[110, 111]
[110, 76]
[110, 146]
[110, 145]
[111, 147]
[111, 146]
[114, 115]
[114, 80]
[114, 149]
[115, 151]
[117, 83]
[117, 153]
[117, 152]
[119, 120]
[119, 85]
[119, 155]
[119, 154]
[120, 121]
[120, 86]
[120, 155]
[121, 122]
[124, 125]
[124, 90]
[124, 160]
[124, 159]
[125, 160]
[127, 128]
[127, 163]
[127, 162]
[128, 164]
[128, 163]
[130, 131]
[130, 96]
[131, 97]
[131, 167]
[134, 100]
[134, 169]
[137, 103]
[137, 173]
[141, 107]
[143, 144]
[143, 179]
[143, 178]
[144, 145]
[144, 110]
[144, 179]
[145, 146]
[145, 111]
[146, 147]
[146, 182]
[147, 183]
[147, 182]
[149, 115]
[151, 152]
[151, 117]
[151, 187]
[151, 186]
[152, 153]
[152, 187]
[153, 154]
[153, 119]
[153, 189]
[154, 155]
[154, 120]
[154, 190]
[154, 189]
[155, 121]
[155, 190]
[159, 160]
[159, 125]
[159, 195]
[159, 194]
[160, 195]
[162, 163]
[162, 128]
[163, 164]
[163, 199]
[164, 130]
[164, 200]
[164, 199]
[167, 168]
[167, 203]
[167, 202]
[168, 169]
[168, 134]
[168, 204]
[168, 203]
[169, 204]
[171, 137]
[171, 207]
[173, 174]
[173, 209]
[174, 209]
[175, 141]
[175, 211]
[175, 210]
[178, 179]
[178, 144]
[179, 145]
[179, 215]
[182, 183]
[183, 149]
[183, 219]
[186, 187]
[186, 152]
[186, 222]
[187, 153]
[187, 222]
[189, 190]
[189, 155]
[189, 224]
[190, 226]
[193, 194]
[193, 159]
[193, 229]
[194, 195]
[194, 160]
[194, 229]
[199, 200]
[199, 235]
[200, 236]
[200, 235]
[202, 203]
[202, 168]
[202, 238]
[203, 204]
[203, 169]
[203, 239]
[203, 238]
[204, 240]
[204, 239]
[207, 173]
[207, 243]
[207, 242]
[210, 211]
[219, 220]
[220, 186]
[224, 190]
[229, 195]
[235, 236]
[236, 202]
[238, 239]
[238, 204]
[239, 240]
[240, 241]
[241, 242]
[241, 207]
[242, 243]
[243, 209]
