[1, 2]
[2, 3]
[8, 9]
[8, 44]
[9, 10]
[9, 44]
[16, 52]
[21, 22]
[21, 57]
[22, 58]
[22, 57]
[24, 25]
[25, 26]
[26, 27]
[27, 28]
[32, 33]
[32, 67]
[35, 1]
[40, 41]
[40, 76]
[40, 75]
[41, 42]
[41, 77]
[41, 76]
[42, 8]
[42, 77]
[44, 10]
[44, 79]
[47, 83]
[49, 50]
[49, 84]
[50, 16]
[52, 53]
[52, 87]
[53, 54]
[53, 89]
[54, 55]
[54, 90]
[54, 89]
[55, 21]
[55, 90]
[57, 58]
[57, 92]
[58, 24]
[58, 94]
[67, 33]
[72, 73]
[75, 76]
[75, 41]
[75, 111]
[75, 110]
[76, 77]
[76, 42]
[76, 112]
[76, 111]
[77, 112]
[81, 47]
[81, 117]
[83, 84]
[83, 49]
[83, 119]
[83, 118]
[84, 50]
[84, 120]
[84, 119]
[87, 53]
[89, 90]
[89, 55]
[89, 125]
[89, 124]
[90, 125]
[92, 58]
[92, 128]
[92, 127]
[94, 95]
[94, 130]
[95, 96]
[95, 130]
[96, 132]
[98, 133]
[100, 136]
[110, 111]
[110, 76]
[111, 112]
[111, 77]
[111, 147]
[112, 148]
[112, 147]
[117, 118]
[117, 83]
[118, 119]
[118, 84]
[119, 120]
[119, 155]
[120, 155]
[124, 125]
[124, 90]
[124, 160]
[125, 161]
[125, 160]
[127, 128]
[128, 94]
[128, 164]
[130, 96]
[130, 166]
[132, 133]
[132, 98]
[140, 175]
[147, 148]
[147, 183]
[148, 184]
[148, 183]
[151, 117]
[151, 187]
[151, 186]
[155, 190]
[157, 192]
[160, 161]
[161, 127]
[164, 130]
[166, 132]
[166, 201]
[170, 136]
[170, 206]
[175, 210]
[180, 215]
[183, 184]
[183, 218]
[186, 187]
[186, 222]
[187, 223]
[187, 222]
[189, 190]
[189, 155]
[189, 225]
[190, 225]
[201, 237]
[204, 170]
[204, 240]
[204, 239]
[206, 207]
[214, 215]
[214, 180]
[217, 218]
[217, 183]
[218, 184]
[222, 223]
[223, 189]
[230, 231]
[235, 201]
[239, 240]
[240, 206]
